d17Ow,d18Ow,Dp17Ow,sum_distance,avg_temperature,min_temperature,max_temperature
-4.6193,-8.800000000000026,37.0,5.5248,28.0,18.0,35.0
-4.6188,-8.800000000000026,37.5,5.3749,27.7,18.0,34.0
-4.6183,-8.800000000000026,38.0,5.1129,27.6,18.0,34.0
-4.6178,-8.800000000000026,38.5,5.8933,27.3,18.0,34.0
-4.6173,-8.800000000000026,39.0,6.1978,26.9,17.0,33.0
-4.6168,-8.800000000000026,39.5,5.8516,26.7,17.0,33.0
-4.6163,-8.800000000000026,40.0,6.1137,26.6,17.0,33.0
-4.5167,-8.600000000000026,33.5,5.7816,30.0,20.0,37.0
-4.5162,-8.600000000000026,34.0,5.2434,29.9,20.0,37.0
-4.5157,-8.600000000000026,34.5,5.5702,29.6,20.0,36.0
-4.5152,-8.600000000000026,35.0,5.8037,29.1,19.0,36.0
-4.5147,-8.600000000000026,35.5,5.3525,29.0,19.0,36.0
-4.5142,-8.600000000000026,36.0,5.2689,28.7,19.0,35.0
-4.5137,-8.600000000000026,36.5,5.391,28.6,19.0,35.0
-4.5132,-8.600000000000026,37.0,5.6605,28.0,18.0,35.0
-4.5127,-8.600000000000026,37.5,5.7667,27.7,18.0,34.0
-4.5122,-8.600000000000026,38.0,5.5314,27.6,18.0,34.0
-4.5117,-8.600000000000026,38.5,6.3867,27.3,18.0,34.0
-4.5107,-8.600000000000026,39.5,6.5986,26.7,17.0,33.0
-4.4107,-8.400000000000027,33.5,5.4501,30.0,20.0,37.0
-4.4102,-8.400000000000027,34.0,5.1833,29.9,20.0,37.0
-4.4097,-8.400000000000027,34.5,5.5031,29.6,20.0,36.0
-4.4092,-8.400000000000027,35.0,5.6274,29.1,19.0,36.0
-4.4087,-8.400000000000027,35.5,5.46,29.0,19.0,36.0
-4.4082,-8.400000000000027,36.0,5.5587,28.7,19.0,35.0
-4.4077,-8.400000000000027,36.5,5.5284,28.6,19.0,35.0
-4.4072,-8.400000000000027,37.0,6.2058,28.0,18.0,35.0
-4.4067,-8.400000000000027,37.5,6.3559,27.7,18.0,34.0
-4.4062,-8.400000000000027,38.0,6.3444,27.6,18.0,34.0
-4.3047,-8.200000000000028,33.5,5.2783,30.0,20.0,37.0
-4.3042,-8.200000000000028,34.0,5.3209,29.9,20.0,37.0
-4.3037,-8.200000000000028,34.5,5.6874,29.6,20.0,36.0
-4.3032,-8.200000000000028,35.0,5.7636,29.1,19.0,36.0
-4.3027,-8.200000000000028,35.5,5.8874,29.0,19.0,36.0
-4.3022,-8.200000000000028,36.0,6.08,28.7,19.0,35.0
-4.3017,-8.200000000000028,36.5,6.2742,28.6,19.0,35.0
-4.1986,-8.000000000000028,33.5,5.4159,30.0,20.0,37.0
-4.1981,-8.000000000000028,34.0,5.7051,29.9,20.0,37.0
-4.1977,-8.000000000000028,34.5,6.0967,29.7,20.0,36.0
-4.1972,-8.000000000000028,35.0,6.4775,29.3,19.0,36.0
-4.1967,-8.000000000000028,35.5,6.5646,29.0,19.0,36.0
-4.0922,-7.800000000000029,34.0,6.3279,29.9,20.0,37.0
